SIMULATED EQUIVALENT  """OBSERVED VALUE"""  """OBSERVATION NAME"""
15  25  w5_04021993
15  25  w5_05041993
13  25  w5_06091993
12  25  w5_06291993
11  24  w5_07281993
11  24  w5_08301993
10  24  w5_09291993
11  23  w5_11021993
11  24  w5_11291993
11  24  w5_01071994
10  25  w5_02231994
15  19  w5_01051995
15  21  w5_01091995
15  22  w5_01101995
15  23  w5_01111995
14  23  w5_01121995
14  23  w5_01131995
14  24  w5_01161995
14  24  w5_01201995
14  25  w5_01251995
12  25  w5_02271995
11  26  w5_03151995
14  25  w5_04261995
5  -2  w6_12171990
5  -1  w6_03011991
5  2  w6_04011991
5  3  w6_04231991
5  3  w6_05011991
5  3  w6_05031991
4  2  w6_11011991
5  2  w6_01031992
5  2  w6_02031992
4  1  w6_10011992
4  2  w6_11031992
5  1  w6_12011992
5  3  w6_01051993
5  4  w6_02011993
5  5  w6_03011993
5  4  w6_04011993
5  4  w6_05041993
5  3  w6_06011993
5  1  w6_07011993
4  3  w6_08011993
4  2  w7_12011990
4  2  w7_12171990
4  3  w7_01011991
4  3  w7_01091991
4  3  w7_02011991
4  3  w7_02051991
4  3  w7_03011991
4  4  w7_04011991
4  4  w7_05011991
4  5  w7_05061991
4  4  w7_05161991
4  4  w7_05231991
4  4  w7_05301991
4  4  w7_06011991
4  4  w7_06061991
4  4  w7_06201991
4  4  w7_07011991
4  3  w7_07051991
4  4  w7_08011991
4  4  w7_08061991
4  2  w7_09041991
4  2  w7_10011991
4  3  w7_10021991
4  4  w7_11011991
4  3  w7_11151991
4  3  w7_12091991
4  4  w7_12311991
4  4  w7_01031992
4  4  w7_01061992
5  4  w7_02031992
4  4  w7_10011992
4  4  w7_11031992
4  4  w7_12011992
4  4  w7_01051993
4  5  w7_02011993
4  6  w7_03011993
4  5  w7_04011993
4  5  w7_05041993
4  5  w7_06011993
4  3  w7_07011993
4  3  w7_08011993
39  36  w8_10311990
39  31  w8_12011990
39  33  w8_12171990
40  36  w8_01011991
40  35  w8_01091991
40  37  w8_03011991
38  37  w8_04011991
37  38  w8_05011991
36  37  w8_06011991
35  37  w8_07011991
32  35  w8_09011991
31  35  w8_10011991
31  34  w8_11011991
30  34  w8_12091991
30  36  w8_01031992
29  37  w8_02031992
30  37  w8_10011992
31  37  w8_11031992
31  37  w8_12011992
32  38  w8_01051993
32  38  w8_02011993
33  39  w8_03011993
35  38  w8_04011993
36  38  w8_05041993
36  38  w8_06011993
37  38  w8_07011993
38  38  w8_08011993
54  50  w9_11011990
54  50  w9_11291990
54  50  w9_12271990
54  50  w9_01311991
55  39  w9_02281991
55  51  w9_03281991
54  39  w9_05021991
54  51  w9_05301991
54  50  w9_06271991
54  50  w9_08011991
54  50  w9_08291991
54  50  w9_09261991
54  50  w9_10311991
54  50  w9_11271991
54  50  w9_01021992
54  50  w9_01301992
54  39  w9_02271992
54  40  w9_04021992
54  50  w9_04301992
54  50  w9_05281992
54  50  w9_07021992
54  50  w9_07301992
54  50  w9_08271992
54  50  w9_10011992
54  50  w9_10291992
54  50  w9_11251992
54  50  w9_12311992
54  51  w9_01281993
54  51  w9_02251993
54  51  w9_04011993
54  50  w9_04291993
54  50  w9_05271993
54  50  w9_07011993
54  50  w9_07291993
54  50  w9_08261993
54  50  w9_09301993
54  50  w9_10281993
54  50  w9_11241993
54  50  w9_12301993
55  50  w9_01271994
54  38  w9_02251994
55  50  w9_03311994
55  50  w9_04281994
54  50  w9_05311994
54  50  w9_06301994
54  50  w9_07281994
54  50  w9_08251994
54  50  w9_09291994
