Well No., Common Name, Year, Yr_Count, Yr_RMSE, Q1_Count, Q1_RMSE, Q2_Count, Q2_RMSE, Q3_Count, Q3_RMSE, Q4_Count, Q4_RMSE
w17,Panetta 1,  2004,    12,5.37,     3,5.28,     3,5.42,     3,5.29,     3,5.48,
w17,Panetta 1,  2005,    12,5.22,     3,5.07,     3,5.30,     3,5.27,     3,5.25,
w17,Panetta 1,  2006,    12,5.05,     3,5.30,     3,4.85,     3,5.23,     3,4.80,
w17,Panetta 1,  2007,    12,5.62,     3,5.47,     3,5.48,     3,5.51,     3,5.98,
w17,Panetta 1,  2008,    12,5.32,     3,5.15,     3,5.18,     3,5.42,     3,5.51,
w17,Panetta 1,  2009,    12,5.24,     3,5.50,     3,5.34,     3,5.41,     3,4.68,
w17,Panetta 1,  2010,    12,4.86,     3,4.80,     3,4.71,     3,5.02,     3,4.88,
w17,Panetta 1,  2011,    12,4.91,     3,4.67,     3,4.82,     3,4.99,     3,5.15,
w17,Panetta 1,  2012,    12,4.80,     3,5.20,     3,4.46,     3,4.87,     3,4.64,
w17,Panetta 1,  2013,    13,4.96,     3,4.63,     4,4.82,     3,5.18,     3,5.22,
w17,Panetta 1,  2014,    10,29.42,     3,5.30,     2,5.08,     3,4.88,     2,65.00,
w17,Panetta 1,  2015,    12,64.97,     3,65.13,     3,64.38,     3,65.20,     3,65.15,
w18,Panetta 2,All Years,   288,18.51,,,,,,,,,
w18,Panetta 2,  1990,     3,10.70,, ,, ,, ,     3,10.70,
w18,Panetta 2,  1991,    11,9.95,     3,11.01,     3,9.13,     3,9.42,     2,10.24,
w18,Panetta 2,  1992,    12,9.44,     3,9.53,     3,9.30,     3,9.62,     3,9.33,
w18,Panetta 2,  1993,    12,8.79,     2,7.99,     3,8.06,     4,9.16,     3,9.45,
w18,Panetta 2,  1994,    12,9.41,     3,9.68,     3,9.37,     3,9.42,     3,9.16,
w18,Panetta 2,  1995,    12,9.39,     3,8.71,     3,9.27,     3,9.53,     3,10.01,
w18,Panetta 2,  1996,    12,8.88,     3,8.94,     3,8.94,     3,8.18,     3,9.41,
w18,Panetta 2,  1997,    12,9.18,     3,8.97,     3,9.60,     3,9.06,     3,9.08,
w18,Panetta 2,  1998,    11,9.31,     2,8.17,     3,10.56,     3,8.58,     3,9.41,
w18,Panetta 2,  1999,    12,10.35,     3,11.92,     3,10.49,     3,8.94,     3,9.84,
w18,Panetta 2,  2000,     8,10.83,     3,11.20,     3,10.67,     2,10.49,, ,
w18,Panetta 2,  2001,     1, ,, ,, ,, ,     1, ,
w18,Panetta 2,  2002,    10,8.47,     1, ,     3,8.68,     3,8.51,     3,7.94,
w18,Panetta 2,  2003,    12,8.08,     3,8.02,     3,7.91,     3,8.18,     3,8.23,
w18,Panetta 2,  2004,    12,8.14,     3,8.03,     3,8.22,     3,8.16,     3,8.16,
w18,Panetta 2,  2005,    12,7.94,     3,7.61,     3,8.09,     3,8.11,     3,7.93,
w18,Panetta 2,  2006,    12,7.66,     3,7.54,     3,7.66,     3,7.96,     3,7.47,
w18,Panetta 2,  2007,    12,8.44,     3,8.26,     3,8.37,     3,8.41,     3,8.74,
w18,Panetta 2,  2008,    12,7.83,     3,7.33,     3,8.01,     3,7.94,     3,8.01,
w18,Panetta 2,  2009,    12,7.06,     3,7.07,     3,7.23,     3,7.28,     3,6.65,
w18,Panetta 2,  2010,    11,7.68,     2,8.34,     3,7.79,     3,7.27,     3,7.53,
w18,Panetta 2,  2011,    12,7.50,     3,7.44,     3,7.32,     3,7.55,     3,7.70,
w18,Panetta 2,  2012,    13,7.39,     4,7.63,     3,7.34,     3,7.22,     3,7.29,
w18,Panetta 2,  2013,    11,7.64,     2,7.33,     3,7.67,     3,7.58,     3,7.86,
w18,Panetta 2,  2014,    12,31.83,     3,7.99,     3,7.76,     3,7.66,     3,62.21,
w18,Panetta 2,  2015,    12,62.70,     3,62.79,     3,62.68,     3,62.93,     3,62.38,
w19,Garzas 3,All Years,   289,84.99,,,,,,,,,
w19,Garzas 3,  1990,     3,86.99,, ,, ,, ,     3,86.99,
w19,Garzas 3,  1991,    11,84.02,     3,85.99,     3,84.48,     3,82.58,     2,82.44,
w19,Garzas 3,  1992,    12,80.53,     3,82.48,     3,80.68,     3,78.27,     3,80.62,
w19,Garzas 3,  1993,    12,85.69,     2,86.92,     3,84.52,     4,84.76,     3,87.24,
w19,Garzas 3,  1994,    12,86.02,     3,87.02,     3,85.24,     3,85.74,     3,86.06,
w19,Garzas 3,  1995,    12,86.28,     3,88.42,     3,85.68,     3,85.08,     3,85.90,
w19,Garzas 3,  1996,    12,86.74,     3,87.09,     3,86.37,     3,85.89,     3,87.61,
w19,Garzas 3,  1997,    12,85.61,     3,85.58,     3,84.94,     3,85.41,     3,86.50,
w19,Garzas 3,  1998,    12,86.41,     3,86.25,     3,85.68,     3,86.20,     3,87.49,
w19,Garzas 3,  1999,    12,86.21,     3,85.65,     3,85.90,     3,85.95,     3,87.31,
w19,Garzas 3,  2000,     8,85.87,     3,86.19,     3,85.47,     2,86.01,, ,
w19,Garzas 3,  2001,     1, ,, ,, ,, ,     1, ,
w19,Garzas 3,  2002,     9,86.62,, ,     3,85.97,     3,86.13,     3,87.76,
w19,Garzas 3,  2003,    12,86.68,     3,86.46,     3,86.32,     3,86.70,     3,87.23,
w19,Garzas 3,  2004,    12,86.54,     3,86.63,     3,85.75,     3,86.38,     3,87.41,
w19,Garzas 3,  2005,    12,87.23,     3,87.71,     3,86.64,     3,87.03,     3,87.56,
w19,Garzas 3,  2006,    12,87.42,     3,87.56,     3,86.93,     3,86.99,     3,88.22,
w19,Garzas 3,  2007,    12,86.84,     3,87.23,     3,86.20,     3,86.80,     3,87.12,
w19,Garzas 3,  2008,    12,87.14,     3,87.56,     3,86.35,     3,87.06,     3,87.60,
w19,Garzas 3,  2009,    12,87.05,     3,85.13,     3,86.86,     3,87.49,     3,88.68,
w19,Garzas 3,  2010,    12,86.58,     3,84.49,     3,85.13,     3,88.00,     3,88.64,
w19,Garzas 3,  2011,    12,88.16,     3,88.04,     3,87.97,     3,88.18,     3,88.47,
w19,Garzas 3,  2012,    12,87.65,     3,86.74,     3,87.68,     3,87.62,     3,88.54,
w19,Garzas 3,  2013,    12,87.80,     3,87.83,     3,87.28,     3,87.95,     3,88.14,
w19,Garzas 3,  2014,    12,82.25,     3,87.47,     3,87.46,     3,88.16,     3,63.14,
w19,Garzas 3,  2015,    12,62.66,     3,63.50,     3,61.15,     3,62.92,     3,63.04,
w20,Garzas 4,All Years,   291,15.23,,,,,,,,,
w20,Garzas 4,  1990,     3,3.00,, ,, ,, ,     3,3.00,
w20,Garzas 4,  1991,    11,3.40,     3,2.94,     3,3.55,     3,3.06,     2,4.23,
w20,Garzas 4,  1992,    13,3.23,     3,3.91,     3,3.50,     3,3.13,     4,2.45,
w20,Garzas 4,  1993,    12,2.11,     2,0.95,     3,0.80,     4,2.66,     3,2.68,
w20,Garzas 4,  1994,    12,3.45,     3,3.15,     3,3.95,     3,3.81,     3,2.76,
w20,Garzas 4,  1995,    12,2.13,     3,1.91,     3,2.10,     3,2.22,     3,2.26,
w20,Garzas 4,  1996,    12,3.84,     3,4.40,     3,4.54,     3,3.71,     3,2.27,
w20,Garzas 4,  1997,    12,3.61,     3,2.32,     3,2.84,     3,5.76,     3,2.35,
w20,Garzas 4,  1998,    12,2.94,     3,2.38,     3,3.32,     3,3.55,     3,2.31,
w20,Garzas 4,  1999,    12,3.52,     3,2.21,     3,3.63,     3,3.82,     3,4.12,
w20,Garzas 4,  2000,     9,4.38,     3,4.24,     3,4.10,     3,4.77,, ,
w20,Garzas 4,  2001,     1, ,, ,, ,, ,     1, ,
w20,Garzas 4,  2002,     9,2.39,, ,     3,1.98,     3,2.59,     3,2.55,
w20,Garzas 4,  2003,    12,2.80,     3,2.91,     3,2.73,     3,2.70,     3,2.85,
w20,Garzas 4,  2004,    12,2.94,     3,2.73,     3,3.00,     3,3.03,     3,2.99,
w20,Garzas 4,  2005,    12,2.74,     3,2.46,     3,2.75,     3,2.89,     3,2.83,
w20,Garzas 4,  2006,    12,2.52,     3,2.59,     3,2.33,     3,2.84,     3,2.27,
w20,Garzas 4,  2007,    12,3.09,     3,2.89,     3,3.05,     3,2.93,     3,3.46,
w20,Garzas 4,  2008,    12,1.19,     3,0.46,     3,1.06,     3,0.71,     3,1.95,
w20,Garzas 4,  2009,    12,2.37,     3,4.49,     3,0.56,     3,1.14,     3,0.90,
w20,Garzas 4,  2010,    12,1.46,     3,1.15,     3,1.07,     3,1.44,     3,1.99,
w20,Garzas 4,  2011,    12,2.14,     3,2.02,     3,2.72,     3,2.13,     3,1.47,
w20,Garzas 4,  2012,    12,1.31,     3,0.99,     3,1.33,     3,1.35,     3,1.52,
w20,Garzas 4,  2013,    12,1.57,     3,1.60,     3,1.63,     3,1.56,     3,1.48,
w20,Garzas 4,  2014,    12,28.62,     3,1.48,     3,1.50,     3,1.46,     3,57.18,
w20,Garzas 4,  2015,    12,57.18,     3,56.67,     3,56.92,     3,57.61,     3,57.51,
w21,Begonia 2,All Years,   288,16.39,,,,,,,,,
w21,Begonia 2,  1991,    11,25.17,     3,2.69,     3,10.89,     3,43.46,     2,21.54,
w21,Begonia 2,  1992,    13,7.31,     3,4.67,     3,6.10,     3,8.35,     4,8.77,
w21,Begonia 2,  1993,    12,8.47,     2,7.00,     3,4.07,     4,11.37,     3,8.07,
w21,Begonia 2,  1994,    12,29.50,     3,4.95,     3,13.02,     3,46.04,     3,34.16,
w21,Begonia 2,  1995,    12,13.22,     3,24.05,     3,8.86,     3,5.25,     3,3.89,
w21,Begonia 2,  1996,    12,3.90,     3,2.27,     3,4.80,     3,5.15,     3,2.45,
w21,Begonia 2,  1997,    12,6.85,     3,2.82,     3,3.35,     3,12.13,     3,4.60,
w21,Begonia 2,  1998,    12,5.15,     3,5.92,     3,0.85,     3,5.27,     3,6.52,
w21,Begonia 2,  1999,    12,2.09,     3,0.84,     3,3.20,     3,2.14,     3,1.42,
w21,Begonia 2,  2000,    12,10.08,     3,19.63,     3,3.91,     3,2.23,     3,0.95,
w21,Begonia 2,  2001,    12,7.05,     3,11.73,     3,6.97,     3,2.04,     3,2.92,
w21,Begonia 2,  2002,    10,9.34,     3,5.66,     3,9.19,     3,11.82,     1, ,
w21,Begonia 2,  2003,     9,11.28,     2,3.16,     3,14.65,     3,12.63,     1, ,
w21,Begonia 2,  2004,     8,14.36,, ,     2,8.92,     3,8.79,     3,20.49,
w21,Begonia 2,  2005,    11,15.17,     3,7.32,     2,14.58,     3,9.56,     3,23.61,
w21,Begonia 2,  2006,     8,21.08,     2,11.84,     2,19.42,     1, ,     3,28.01,
w21,Begonia 2,  2007,    10,25.36,     3,12.91,     3,33.66,     1, ,     3,26.08,
w21,Begonia 2,  2008,    11,29.49,     3,27.08,     3,31.37,     3,24.41,     2,36.24,
w21,Begonia 2,  2009,    12,17.10,     3,18.82,     3,8.89,     3,9.59,     3,25.39,
w21,Begonia 2,  2010,    12,14.65,     3,9.56,     3,8.69,     3,10.64,     3,24.05,
w21,Begonia 2,  2011,    12,10.37,     3,11.90,     3,5.31,     3,6.29,     3,14.85,
w21,Begonia 2,  2012,    12,14.74,     3,9.84,     3,12.68,     3,16.23,     3,18.66,
w21,Begonia 2,  2013,    12,13.65,     3,14.52,     3,6.70,     3,4.88,     3,21.57,
w21,Begonia 2,  2014,    12,25.70,     3,22.31,     3,27.64,     3,32.01,     3,18.87,
w21,Begonia 2,  2015,    12,20.70,     3,21.47,     3,21.38,     3,20.90,     3,18.96,
w22,Manor,All Years,   251,13.97,,,,,,,,,
w22,Manor,  1990,     3,21.92,, ,, ,, ,     3,21.92,
w22,Manor,  1991,    11,18.73,     3,18.46,     3,16.15,     3,20.06,     2,20.60,
w22,Manor,  1992,    13,19.05,     3,14.07,     3,18.90,     3,19.99,     4,21.54,
w22,Manor,  1993,    12,17.52,     2,13.52,     3,17.62,     4,18.79,     3,18.04,
w22,Manor,  1994,    12,17.51,     3,16.21,     3,18.45,     3,19.47,     3,15.60,
w22,Manor,  1995,    12,10.72,     3,16.65,     3,5.04,     3,11.13,     3,5.80,
w22,Manor,  1996,    12,10.17,     3,6.47,     3,14.84,     3,11.23,     3,5.03,
w22,Manor,  1997,    12,16.12,     3,5.75,     3,13.94,     3,24.04,     3,15.29,
w22,Manor,  1998,    11,11.28,     2,13.91,     3,5.38,     3,16.61,     3,5.74,
w22,Manor,  1999,    11,12.35,     2,5.75,     3,15.26,     3,16.38,     3,6.02,
w22,Manor,  2000,    12,12.80,     3,16.97,     3,12.83,     3,5.68,     3,13.05,
w22,Manor,  2001,     5,6.11,     2,5.20,, ,, ,     3,6.65,
w22,Manor,  2002,     9,12.86,     2,9.07,     2,18.57,     3,13.90,     2,5.26,
w22,Manor,  2003,    12,14.08,     3,13.64,     3,18.65,     3,15.07,     3,5.72,
w22,Manor,  2004,    11,11.29,     3,15.82,     3,11.81,     2,8.11,     3,5.76,
w22,Manor,  2005,    12,10.29,     3,5.24,     3,15.43,     3,11.30,     3,5.54,
w22,Manor,  2006,    10,18.16,     3,20.64,     2,17.98,     3,18.65,     2,12.86,
w22,Manor,  2007,    12,19.38,     3,14.57,     3,22.36,     3,19.57,     3,20.16,
w22,Manor,  2008,    12,17.65,     3,17.37,     3,16.94,     3,21.44,     3,14.07,
w22,Manor,  2009,    11,12.37,     3,15.42,     3,16.25,     2,5.52,     3,6.22,
w22,Manor,  2010,    12,5.08,     3,5.04,     3,5.00,     3,5.08,     3,5.20,
w22,Manor,  2011,    12,4.96,     3,4.82,     3,4.48,     3,5.06,     3,5.45,
w22,Manor,  2012,    12,4.89,     3,5.31,     3,4.94,     3,4.58,     3,4.71,
w23,Mandleman,All Years,   246,9.76,,,,,,,,,
w23,Mandleman,  1990,     3,4.58,, ,, ,, ,     3,4.58,
w23,Mandleman,  1991,    21,7.98,     5,4.78,     9,8.85,     3,9.09,     4,8.20,
w23,Mandleman,  1992,    14,11.94,     4,10.55,     3,12.59,     3,13.18,     4,11.76,
w23,Mandleman,  1993,    13,13.67,     4,12.76,     4,13.66,     3,14.23,     2,14.57,
w23,Mandleman,  1994,    13,14.24,     4,14.98,     3,15.49,     3,14.20,     3,11.77,
w23,Mandleman,  1995,    13,13.83,     4,15.37,     3,14.79,     2,13.22,     4,11.59,
w23,Mandleman,  1996,    11,10.39,     2,11.07,     2,10.53,     4,10.61,     3,9.50,
w23,Mandleman,  1997,    12,8.96,     3,9.26,     2,8.61,     4,9.07,     3,8.74,
w23,Mandleman,  1998,    12,9.18,     3,10.79,     2,9.49,     4,8.58,     3,7.90,
w23,Mandleman,  1999,    11,9.09,     2,8.52,     3,9.91,     3,9.26,     3,8.42,
w23,Mandleman,  2000,    12,8.28,     3,8.87,     3,8.82,     2,8.17,     4,7.42,
w23,Mandleman,  2001,    12,7.30,     2,7.01,     3,7.49,     4,7.45,     3,7.08,
w23,Mandleman,  2002,    12,7.31,     3,7.18,     3,7.42,     2,7.02,     4,7.45,
w23,Mandleman,  2003,    12,7.64,     3,8.15,     3,7.83,     3,7.45,     3,7.10,
w23,Mandleman,  2004,    12,6.82,     2,7.23,     4,7.07,     3,6.66,     3,6.33,
w23,Mandleman,  2005,    11,7.10,     3,7.65,     3,7.26,     3,6.65,     2,6.62,
w23,Mandleman,  2006,    12,6.96,     4,6.44,     2,7.36,     2,7.03,     4,7.23,
w23,Mandleman,  2007,     6,6.30,     3,7.42,     1, ,, ,     2,4.54,
w23,Mandleman,  2008,    11,8.48,     4,7.77,     1, ,     3,9.29,     3,8.09,
w23,Mandleman,  2009,    12,11.41,     4,10.65,     3,11.27,     3,11.91,     2,12.30,
w23,Mandleman,  2010,    11,11.02,     4,11.95,     3,11.08,     2,10.16,     2,9.71,
w24,Coyote US,All Years,   258,4.62,,,,,,,,,
w24,Coyote US,  1990,     3,7.60,, ,, ,, ,     3,7.60,
w24,Coyote US,  1991,    17,2.84,     6,4.46,     5,1.70,     3,0.45,     3,0.92,
w24,Coyote US,  1992,    13,4.78,     3,5.07,     3,5.29,     3,4.76,     4,4.12,
w24,Coyote US,  1993,    10,2.53,     2,4.02,     4,1.09,     2,2.18,     2,2.96,
w24,Coyote US,  1994,    13,4.58,     4,3.70,     3,4.81,     3,5.04,     3,4.89,
w24,Coyote US,  1995,    12,2.60,     3,2.26,     3,1.84,     2,2.02,     4,3.43,
w24,Coyote US,  1996,    12,4.67,     3,3.89,     2,4.73,     4,4.93,     3,4.97,
w24,Coyote US,  1997,    12,4.48,     3,2.95,     2,4.00,     4,4.97,     3,5.28,
w24,Coyote US,  1998,    13,3.25,     4,3.77,     2,3.36,     4,2.48,     3,3.33,
w24,Coyote US,  1999,    11,2.76,     2,1.81,     3,1.73,     3,2.97,     3,3.74,
w24,Coyote US,  2000,    13,4.81,     3,4.00,     4,4.88,     2,5.06,     4,5.16,
w24,Coyote US,  2001,    12,5.46,     2,5.25,     3,5.47,     4,5.53,     3,5.49,
w24,Coyote US,  2002,    12,5.89,     3,6.23,     3,6.19,     2,5.71,     4,5.48,
w24,Coyote US,  2003,    12,5.91,     3,6.10,     3,6.19,     3,5.69,     3,5.65,
w24,Coyote US,  2004,    12,5.93,     2,5.52,     4,6.39,     3,5.82,     3,5.65,
w24,Coyote US,  2005,    11,5.83,     3,5.48,     3,6.24,     3,5.77,     2,5.78,
w24,Coyote US,  2006,    13,5.63,     4,5.49,     2,5.86,     3,5.74,     4,5.58,
w24,Coyote US,  2007,    12,5.66,     3,5.95,     3,5.79,     2,5.64,     4,5.33,
w24,Coyote US,  2008,    13,2.29,     5,2.93,     2,2.49,     3,1.72,     3,1.19,
w24,Coyote US,  2009,    12,3.86,     3,2.43,     3,3.89,     3,4.46,     3,4.33,
w24,Coyote US,  2010,    12,4.73,     4,4.45,     3,4.74,     2,4.95,     3,4.93,
w24,Coyote US,  2011,     8,4.51,     3,4.37,     4,4.54,     1, ,, ,
w25,CVR 1,All Years,   287,9.50,,,,,,,,,
w25,CVR 1,  1990,     3,4.83,, ,, ,, ,     3,4.83,
w25,CVR 1,  1991,    12,3.31,     3,1.90,     3,2.26,     2,3.86,     4,4.34,
w25,CVR 1,  1992,    11,8.03,     4,8.68,     3,7.83,     3,7.87,     1, ,
w25,CVR 1,  1993,     6,0.89,, ,     1, ,     3,0.50,     2,1.21,
w25,CVR 1,  1994,    13,2.96,     4,2.08,     3,3.20,     3,3.44,     3,3.17,
w25,CVR 1,  1995,    12,1.07,     4,0.50,     3,0.16,     2,0.56,     3,1.99,
w25,CVR 1,  1996,    12,3.17,     3,2.40,     2,3.28,     4,3.37,     3,3.49,
w25,CVR 1,  1997,    12,2.85,     3,0.70,     2,2.31,     4,3.34,     3,3.69,
w25,CVR 1,  1998,    12,1.47,     3,2.06,     2,1.10,     4,0.86,     3,1.60,
w25,CVR 1,  1999,    11,1.39,     2,1.00,     3,0.72,     3,1.28,     3,2.06,
w25,CVR 1,  2000,    13,3.04,     3,2.33,     4,3.05,     2,3.13,     4,3.42,
w25,CVR 1,  2001,    11,3.82,     2,3.64,     3,3.82,     3,3.88,     3,3.87,
w25,CVR 1,  2002,    12,4.19,     3,4.21,     3,4.38,     2,4.25,     4,4.00,
w25,CVR 1,  2003,    10,4.11,     3,4.21,     3,4.17,     3,3.99,     1, ,
w25,CVR 1,  2004,     5,4.27,, ,, ,     2,4.24,     3,4.28,
w25,CVR 1,  2005,    11,4.06,     3,3.53,     3,4.33,     3,4.18,     2,4.17,
w25,CVR 1,  2006,    13,3.88,     4,3.68,     2,3.87,     3,4.01,     4,3.99,
w25,CVR 1,  2007,    12,4.00,     3,4.16,     3,4.21,     2,4.04,     4,3.70,
w25,CVR 1,  2008,    11,0.66,     4,0.81,     2,0.44,     2,0.33,     3,0.72,
w25,CVR 1,  2009,    13,2.22,     4,0.77,     3,2.28,     3,2.83,     3,2.72,
w25,CVR 1,  2010,    12,3.07,     4,2.73,     3,3.16,     2,3.20,     3,3.33,
w25,CVR 1,  2011,    12,3.06,     3,2.81,     4,3.01,     2,3.24,     3,3.22,
w25,CVR 1,  2012,    12,3.25,     3,3.33,     4,3.27,     3,3.31,     2,2.98,
w25,CVR 1,  2013,    11,3.20,     2,2.84,     4,3.30,     2,3.25,     3,3.25,
w25,CVR 1,  2014,    12,18.89,     4,3.14,     2,3.25,     3,3.16,     3,37.38,
w25,CVR 1,  2015,    11,37.63,     3,37.74,     3,37.58,     1, ,     4,37.60,
w26,Womble ABD,All Years,    51,22.44,,,,,,,,,
w26,Womble ABD,  2011,     3,1.29,, ,, ,, ,     3,1.29,
w26,Womble ABD,  2012,    11,1.36,     3,1.43,     4,1.32,     3,1.33,     1, ,
w26,Womble ABD,  2013,    12,1.17,     2,0.97,     4,1.24,     2,1.29,     4,1.14,
w26,Womble ABD,  2014,    12,19.99,     4,1.35,     2,1.35,     3,1.28,     3,39.91,
w26,Womble ABD,  2015,    11,40.02,     3,40.07,     3,40.00,     1, ,     4,40.01,
w27,Center St.,All Years,   316,11.58,,,,,,,,,
w27,Center St.,  1990,     3,6.62,, ,, ,, ,     3,6.62,
w27,Center St.,  1991,    24,9.65,     7,8.66,    10,11.69,     3,7.45,     4,6.60,
w27,Center St.,  1992,    12,12.35,     4,12.63,     3,13.34,     3,10.46,     2,12.85,
w27,Center St.,  1993,    13,17.74,     4,19.06,     4,18.43,     3,15.97,     2,16.04,
w27,Center St.,  1994,    13,12.35,     4,14.89,     3,12.97,     3,9.96,     3,9.89,
w27,Center St.,  1995,    13,12.57,     4,14.46,     3,14.25,     2,11.96,     4,8.96,
w27,Center St.,  1996,    13,5.38,     3,6.50,     2,5.55,     4,5.32,     4,4.30,
w27,Center St.,  1997,    12,3.24,     3,3.59,     2,2.19,     4,2.92,     3,3.82,
w27,Center St.,  1998,    12,3.42,     3,5.04,     2,3.50,     4,2.48,     3,2.26,
w27,Center St.,  1999,    11,3.91,     2,4.05,     3,5.14,     3,3.70,     3,2.23,
w27,Center St.,  2000,    13,4.27,     3,2.90,     4,5.46,     2,4.81,     4,3.41,
w27,Center St.,  2001,    13,3.19,     2,2.82,     3,3.97,     4,3.40,     4,2.38,
w27,Center St.,  2002,    12,3.10,     3,2.15,     3,2.73,     2,3.36,     4,3.76,
w27,Center St.,  2003,    13,4.00,     3,3.96,     3,4.02,     3,4.28,     4,3.81,
w27,Center St.,  2004,     5,4.24,, ,, ,     2,4.22,     3,4.26,
w27,Center St.,  2005,    11,4.19,     3,4.87,     3,4.47,     3,3.56,     2,3.48,
w27,Center St.,  2006,    13,6.15,     3,4.67,     2,6.00,     3,6.38,     5,6.81,
w27,Center St.,  2007,    12,7.79,     3,6.92,     3,7.62,     2,8.45,     4,8.17,
w27,Center St.,  2008,    13,13.31,     4,12.55,     2,13.02,     3,13.85,     4,13.78,
w27,Center St.,  2009,    12,14.89,     4,15.44,     3,15.65,     3,14.14,     2,13.66,
w27,Center St.,  2010,    12,13.82,     4,15.38,     3,14.76,     2,12.83,     3,11.02,
w27,Center St.,  2011,    12,10.67,     3,11.91,     4,12.02,     2,9.61,     3,7.68,
w27,Center St.,  2012,    13,8.78,     3,7.54,     4,8.28,     3,8.98,     3,10.25,
w27,Center St.,  2013,    10,13.39,     1, ,     4,12.93,     2,14.03,     3,14.10,
w27,Center St.,  2014,    11,18.17,     4,15.64,     2,17.20,     3,16.10,     2,25.34,
w27,Center St.,  2015,    12,28.07,     3,29.41,     3,29.40,     1, ,     5,26.17,
w28,CVR 8,All Years,   307,8.39,,,,,,,,,
w28,CVR 8,  1990,     3,3.51,, ,, ,, ,     3,3.51,
w28,CVR 8,  1991,    15,1.93,     3,1.93,     5,2.62,     2,1.81,     5,0.84,
w28,CVR 8,  1992,    12,3.67,     4,4.17,     3,3.94,     3,2.58,     2,3.55,
w28,CVR 8,  1993,    12,7.94,     4,7.77,     3,8.30,     3,7.83,     2,7.88,
w28,CVR 8,  1994,    13,5.47,     4,7.41,     3,5.48,     3,3.87,     3,3.39,
w28,CVR 8,  1995,    12,3.46,     4,4.29,     3,3.34,     2,2.77,     3,2.64,
w28,CVR 8,  1996,    12,1.81,     3,2.48,     2,1.87,     4,1.43,     3,1.39,
w28,CVR 8,  1997,    12,0.92,     3,1.29,     2,0.94,     4,0.86,     3,0.35,
w28,CVR 8,  1998,    12,0.52,     3,0.97,     2,0.26,     4,0.14,     3,0.24,
w28,CVR 8,  1999,    11,0.79,     2,0.79,     3,0.96,     3,0.71,     3,0.68,
w28,CVR 8,  2000,    13,0.71,     3,1.07,     4,0.76,     2,0.45,     4,0.32,
w28,CVR 8,  2001,    11,0.18,     2,0.11,     3,0.30,     3,0.07,     3,0.11,
w28,CVR 8,  2002,    12,0.53,     3,0.29,     3,0.37,     2,0.87,     4,0.56,
w28,CVR 8,  2003,    13,0.59,     3,0.69,     3,0.59,     3,0.68,     4,0.42,
w28,CVR 8,  2004,    11,0.63,     1, ,     4,0.68,     3,0.80,     3,0.41,
w28,CVR 8,  2005,    11,0.87,     3,0.16,     3,0.93,     3,1.17,     2,0.87,
w28,CVR 8,  2006,    13,0.63,     4,0.40,     2,0.43,     3,0.71,     4,0.80,
w28,CVR 8,  2007,    11,0.36,     2,0.46,     3,0.36,     2,0.34,     4,0.33,
w28,CVR 8,  2008,    12,1.83,     4,1.68,     2,1.45,     3,1.69,     3,2.30,
w28,CVR 8,  2009,    12,3.05,     4,3.20,     3,2.91,     3,2.84,     2,3.27,
w28,CVR 8,  2010,    12,2.82,     4,3.21,     3,2.88,     2,2.43,     3,2.39,
w28,CVR 8,  2011,    12,2.46,     3,2.97,     4,2.67,     2,1.85,     3,1.90,
w28,CVR 8,  2012,    12,1.63,     3,1.72,     4,1.53,     3,1.38,     2,1.97,
w28,CVR 8,  2013,    11,2.84,     3,2.52,     3,2.47,     2,2.83,     3,3.45,
w28,CVR 8,  2014,    12,16.41,     4,4.62,     2,5.06,     3,4.54,     3,31.79,
w28,CVR 8,  2015,    12,32.84,     3,33.32,     4,32.99,     1, ,     4,32.34,
w29,CVR 5,All Years,   304,8.93,,,,,,,,,
w29,CVR 5,  1990,     3,4.85,, ,, ,, ,     3,4.85,
w29,CVR 5,  1991,    16,1.59,     3,3.26,     6,0.76,     2,0.66,     5,0.90,
w29,CVR 5,  1992,    12,3.90,     4,4.16,     3,4.39,     3,3.15,     2,3.58,
w29,CVR 5,  1993,    12,5.78,     4,6.66,     3,6.08,     3,5.03,     2,4.29,
w29,CVR 5,  1994,    13,2.06,     4,3.40,     3,1.63,     3,0.42,     3,0.43,
w29,CVR 5,  1995,    12,1.39,     4,1.56,     3,1.12,     2,1.37,     3,1.41,
w29,CVR 5,  1996,    12,0.65,     3,1.21,     2,0.56,     4,0.15,     3,0.10,
w29,CVR 5,  1997,    12,1.30,     3,0.68,     2,1.53,     4,1.55,     3,1.23,
w29,CVR 5,  1998,    12,0.40,     3,0.50,     2,0.58,     4,0.34,     3,0.08,
w29,CVR 5,  1999,    11,0.51,     2,0.43,     3,0.69,     3,0.45,     3,0.40,
w29,CVR 5,  2000,    13,0.66,     3,0.52,     4,0.49,     2,0.72,     4,0.83,
w29,CVR 5,  2001,    11,1.33,     2,0.93,     3,1.30,     3,1.57,     3,1.32,
w29,CVR 5,  2002,    12,1.89,     3,1.53,     3,1.77,     2,2.35,     4,1.97,
w29,CVR 5,  2003,    12,1.90,     3,2.00,     3,1.84,     3,1.99,     3,1.74,
w29,CVR 5,  2004,    12,2.06,     2,1.64,     4,2.22,     3,2.32,     3,1.80,
w29,CVR 5,  2005,    11,1.92,     3,1.25,     3,2.13,     3,2.24,     2,1.90,
w29,CVR 5,  2006,     8,1.68,     4,1.54,     2,1.63,     2,1.96,, ,
