Gage, Time Start, Time Stop, Cutoff min (cfs), Cutoff max (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
DJ,01-Oct-2000,30-Sep-2001,  20, 200,143.13, 99.20, 76.18, 42.77,   130,0.5670
DJ,01-Oct-2000,30-Sep-2001, 200, 500,402.69,249.51,279.77, 64.85,    26,0.4444
DJ,01-Oct-2001,30-Sep-2002,   0,10000, 55.10, 62.62, 43.28, 58.28,   365,0.6900
DJ,01-Oct-2001,30-Sep-2002,   0,  20, 12.38, 18.77,  6.59,  4.59,   178,0.4316
DJ,01-Oct-2001,30-Sep-2002,  20, 200, 90.89, 60.83, 63.46, 30.87,   177,0.5915
DJ,01-Oct-2001,30-Sep-2002, 200, 500,162.99, 50.68,285.83, 66.19,    12,-0.1895
DJ,01-Oct-2002,30-Sep-2003,   0,10000,126.93,178.99, 83.46,134.77,   365,0.7037
DJ,01-Oct-2002,30-Sep-2003,   0,  20,  8.72,  6.44,  9.36,  5.39,   147,0.7528
DJ,01-Oct-2002,30-Sep-2003,  20, 200,152.45,124.88, 84.87, 43.20,   189,0.7405
DJ,01-Oct-2002,30-Sep-2003, 200, 500,450.54,253.72,294.00, 79.64,    25,0.0069
DJ,01-Oct-2003,30-Sep-2004,   0,10000,105.09,210.12, 52.80,139.74,   366,0.5008
DJ,01-Oct-2003,30-Sep-2004,   0,  20, 13.39, 12.16,  6.78,  4.45,   217,0.5949
DJ,01-Oct-2003,30-Sep-2004,  20, 200,176.57,187.73, 62.32, 43.83,   135,0.7261
DJ,01-Oct-2003,30-Sep-2004, 200, 500,698.46,542.39,305.92, 71.59,    13,-0.3403
DJ,01-Oct-2004,30-Sep-2005,   0,10000,171.21,269.82,168.30,293.08,   365,0.7015
DJ,01-Oct-2004,30-Sep-2005,   0,  20, 19.45, 28.28, 11.86,  4.56,   145,-0.0424
DJ,01-Oct-2004,30-Sep-2005,  20, 200,115.45,102.12, 83.94, 55.37,   128,0.9024
DJ,01-Oct-2004,30-Sep-2005, 200, 500,366.12,164.32,311.29, 83.30,    59,0.5008
DJ,01-Oct-2005,30-Sep-2006,   0,10000,165.44,272.90,163.36,311.58,   365,0.6669
DJ,01-Oct-2005,30-Sep-2006,   0,  20, 15.12, 28.95, 10.11,  2.69,   155,0.2192
DJ,01-Oct-2005,30-Sep-2006,  20, 200,109.39, 78.35, 80.22, 44.49,   131,0.5680
DJ,01-Oct-2005,30-Sep-2006, 200, 500,477.99,243.60,365.63, 83.48,    51,0.4893
DJ,01-Oct-2006,30-Sep-2007,   0,10000, 29.87, 37.69, 16.78, 26.39,   365,0.7958
DJ,01-Oct-2006,30-Sep-2007,   0,  20, 17.33, 15.10,  7.87,  5.94,   282,0.7676
DJ,01-Oct-2006,30-Sep-2007,  20, 200, 65.00, 50.13, 39.05, 27.24,    94,0.7522
DJ,01-Oct-2007,30-Sep-2008,   0,10000,105.14,271.94, 72.33,196.38,   366,0.7275
DJ,01-Oct-2007,30-Sep-2008,   0,  20, 11.83,  9.83,  5.37,  5.34,   233,0.1392
DJ,01-Oct-2007,30-Sep-2008,  20, 200,133.96, 78.62, 72.76, 47.53,   110,0.9672
DJ,01-Oct-2007,30-Sep-2008, 200, 500,435.64,181.88,309.79, 74.92,    19,0.2180
DJ,01-Oct-2008,30-Sep-2009,   0,10000, 71.10,149.68, 65.89,190.55,   365,0.5948
DJ,01-Oct-2008,30-Sep-2009,   0,  20, 14.88, 16.50,  7.25,  3.90,   222,0.1272
DJ,01-Oct-2008,30-Sep-2009,  20, 200, 85.29, 63.72, 61.19, 43.73,   118,0.8929
DJ,01-Oct-2008,30-Sep-2009, 200, 500,474.72,304.87,312.47, 87.74,    17,0.3491
DJ,01-Oct-2009,30-Sep-2010,   0,10000,138.17,206.69,146.78,220.02,   365,0.6962
DJ,01-Oct-2009,30-Sep-2010,   0,  20,  7.19,  1.26, 12.21,  4.07,    79,0.6915
DJ,01-Oct-2009,30-Sep-2010,  20, 200, 67.90, 75.26, 70.28, 50.89,   202,0.9448
DJ,01-Oct-2009,30-Sep-2010, 200, 500,350.37,188.44,316.66, 77.23,    68,0.3175
DJ,01-Oct-2010,30-Sep-2011,   0,10000,135.71,252.01,161.01,314.64,   365,0.6761
