Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    16  CA.gg15   20.00  19-Feb-2004     21-Feb-2004   O         3        28.28
    16  CA.gg15   20.00  22-Feb-2004     26-Feb-2004   U         5        12.56
    16  CA.gg15   20.00  27-Feb-2004     29-Feb-2004   O         3        33.39
    16  CA.gg15   20.00  01-Mar-2004     20-Oct-2004   U       234         1.31
    16  CA.gg15   20.00  22-Oct-2004     28-Dec-2004   U        68         5.04
    16  CA.gg15   20.00  29-Dec-2004     17-Jan-2005   O        20        35.07
    16  CA.gg15   20.00  18-Jan-2005     22-Feb-2005   U        36         8.62
    16  CA.gg15   20.00  23-Feb-2005     25-Feb-2005   O         3        20.79
    16  CA.gg15   20.00  26-Feb-2005     23-Mar-2005   U        26         8.19
    16  CA.gg15   20.00  24-Mar-2005     25-Mar-2005   O         2        38.64
    16  CA.gg15   20.00  26-Mar-2005     02-Dec-2005   U       252         1.79
    16  CA.gg15   20.00  04-Dec-2005     19-Dec-2005   U        16         7.05
    16  CA.gg15   20.00  21-Dec-2005     31-Dec-2005   U        11        13.12
    16  CA.gg15   20.00  01-Jan-2006     06-Jan-2006   O         6        40.04
    16  CA.gg15   20.00  07-Jan-2006     28-Feb-2006   U        53         5.79
    16  CA.gg15   20.00  01-Mar-2006     05-Mar-2006   O         5        33.33
    16  CA.gg15   20.00  06-Mar-2006     14-Mar-2006   U         9        15.68
    16  CA.gg15   20.00  16-Mar-2006     04-Apr-2006   U        20        11.94
    16  CA.gg15   20.00  05-Apr-2006     10-Apr-2006   O         6        27.63
    16  CA.gg15   20.00  11-Apr-2006     10-Dec-2006   U       244         1.86
    16  CA.gg15   20.00  12-Dec-2006     05-Jan-2008   U       390         2.36
    16  CA.gg15   20.00  06-Jan-2008     10-Jan-2008   O         5        50.35
    16  CA.gg15   20.00  11-Jan-2008     27-Jan-2008   U        17        12.52
    16  CA.gg15   20.00  28-Jan-2008     02-Feb-2008   O         6        40.88
    16  CA.gg15   20.00  03-Feb-2008     24-Feb-2008   U        22         8.64
    16  CA.gg15   20.00  25-Feb-2008     26-Feb-2008   O         2        41.66
    16  CA.gg15   20.00  27-Feb-2008     16-Feb-2009   U       356         2.23
    16  CA.gg15   20.00  17-Feb-2009     21-Feb-2009   O         5        48.17
    16  CA.gg15   20.00  22-Feb-2009     04-Mar-2009   U        11        12.84
